UMAP1,UMAP2,program_type,cluster2,cluster3,cluster4
4.16111,6.9048886,1,0,0,3
4.4124017,7.329256,1,0,0,3
7.166219,3.0666919,1,1,1,1
3.2003791,4.552937,1,0,0,3
8.037302,7.748967,1,1,1,0
5.818016,6.0110564,1,0,0,3
4.8443384,7.4752445,1,0,0,3
4.043814,5.033536,1,0,0,3
4.452917,7.5107536,1,0,0,3
6.535123,3.2619598,1,1,2,2
4.32294,7.401133,1,0,0,3
4.079373,4.9998665,1,0,0,3
5.969923,2.1126323,1,1,1,1
4.280338,7.4218493,1,0,0,3
9.211717,6.389742,1,0,0,3
4.510805,6.6362495,1,0,0,3
2.7484186,5.660631,1,0,0,2
3.0279255,5.5031595,1,0,0,3
6.6100082,4.5171285,1,0,0,3
5.61567,2.4559846,1,1,2,1
6.0330086,5.9800086,1,1,1,0
7.2984776,4.9220886,1,1,0,0
7.2646427,2.2151031,1,1,2,2
7.331531,2.3023067,1,1,1,1
8.740433,7.20775,1,0,0,3
4.4030347,5.3799047,1,1,1,1
9.049654,6.6212497,1,0,2,2
8.116372,0.56097347,1,1,2,2
8.055094,3.7993925,1,1,1,0
6.678351,4.164588,1,1,2,1
6.8330107,2.5782583,0,1,1,1
5.6310697,4.910053,1,1,1,0
5.1178684,3.424741,1,0,2,2
6.3587418,4.1167407,1,1,1,1
7.2732043,3.5907388,1,1,1,0
7.537912,4.3520412,1,1,1,0
7.953621,7.6957846,1,1,1,0
5.092434,8.249689,1,0,0,3
7.6418633,3.7604825,1,0,0,0
3.2279136,5.5258646,1,0,0,3
4.4164367,4.9565215,1,1,1,0
2.8236158,3.9043221,1,0,2,2
2.8794475,4.0970035,1,0,0,2
3.3136747,5.12801,1,0,0,2
5.939995,2.5769281,1,1,1,1
3.3400126,5.181178,1,0,0,2
2.7873607,4.0000515,1,0,0,2
2.836692,4.0291862,1,0,2,2
2.8043442,3.9447024,1,0,2,2
2.7749019,3.9465873,1,0,0,2
9.159174,6.4275975,1,0,0,0
6.7069306,4.1260357,0,1,1,0
7.111616,3.7365875,1,1,1,0
2.8573632,4.006916,1,0,0,2
3.1040761,4.2571216,1,0,0,2
2.94413,4.204235,1,0,2,2
2.8057716,4.0971932,1,0,0,2
3.2739685,4.994782,1,0,0,2
2.8675773,4.0958424,1,0,0,2
8.971734,8.329447,1,0,0,3
8.962501,7.9202847,1,0,0,2
9.023831,8.330016,1,0,0,3
5.3701367,5.6707373,1,0,0,0
9.142793,7.497983,1,0,0,3
9.473136,7.5201716,1,0,0,3
4.5510545,5.013639,1,0,0,3
4.221528,4.934216,1,0,0,3
4.419971,4.8363204,1,0,0,3
4.6716986,4.916203,1,0,0,0
9.295223,7.6889,1,0,0,2
9.404448,7.5697308,1,0,0,3
9.479778,7.516003,1,0,0,3
8.352585,7.295912,1,0,0,3
9.164373,7.4614844,1,0,0,3
4.0599074,6.002795,1,0,2,2
8.9293375,8.0561905,1,0,0,3
7.2940736,4.254924,1,1,2,0
9.05059,6.9782715,1,1,2,2
8.398224,8.185176,1,0,0,3
2.8865614,5.864287,1,0,2,2
8.458829,7.520304,1,0,0,3
8.46772,7.3828096,1,0,0,3
8.998422,8.272699,1,0,0,3
8.508142,8.211001,1,0,0,3
2.8443866,4.1164656,1,0,0,3
4.700655,7.263988,1,0,0,3
5.956946,6.501493,1,0,0,2
2.9263008,3.9699178,1,0,0,3
6.5813766,6.178252,1,0,0,0
3.387897,5.9099846,1,0,0,2
3.2194247,6.154607,1,0,2,2
5.2359223,5.6656227,1,0,0,3
3.3101165,6.2305894,1,0,0,3
3.558521,4.2542214,1,0,0,3
4.8631372,6.749629,1,0,0,3
4.119242,6.1832776,1,0,0,3
7.10236,3.667755,1,1,1,0
9.386709,6.98902,1,1,1,0
9.020116,8.290387,1,0,0,3
9.068188,7.79213,1,0,0,3
6.4643354,6.1415014,1,0,0,3
3.9378834,6.526514,1,0,0,3
3.961405,6.4291983,1,0,0,3
4.015054,6.337472,1,0,2,2
5.7239676,6.747495,1,0,0,3
4.869861,4.420361,1,0,0,3
6.648918,2.360936,0,1,1,1
3.7252169,5.6029124,1,0,2,2
6.9948463,3.009623,1,1,1,0
2.8202412,4.0222683,1,0,2,2
2.815357,4.0173683,1,0,0,2
2.8236268,3.9987998,1,0,2,2
2.776145,3.9039507,1,0,0,2
2.8550305,3.955617,1,0,2,2
2.886506,4.027788,1,0,0,2
6.58828,2.78264,1,1,1,0
9.274161,6.142833,1,0,0,0
6.6464686,6.0968075,1,0,0,2
2.7821443,3.9436724,1,0,0,2
2.7661788,3.9692323,1,0,0,2
8.755694,6.427303,1,1,1,1
3.847398,6.4581227,1,0,2,2
9.040113,7.024556,1,0,0,3
6.8249516,2.6919098,1,1,1,1
7.239455,2.842138,1,1,1,0
5.3735824,2.6747499,1,1,1,1
6.005816,4.331453,1,1,2,2
7.3367143,6.9508386,1,0,0,0
3.9345865,6.2791963,1,0,2,2
7.4566407,6.4419065,1,0,0,2
3.7571213,5.6198745,1,0,0,3
4.829929,5.7942367,1,0,0,3
6.191851,6.0223913,1,0,0,2
4.985389,7.2650576,1,0,0,2
7.7272134,4.554652,1,1,2,1
5.8109794,6.7258725,1,0,0,3
2.8272986,3.9157214,1,0,2,2
5.86019,6.763567,1,0,0,3
8.740003,6.689159,1,0,0,3
5.0027456,7.378874,1,0,0,3
5.4698005,5.7836266,1,0,0,3
5.7357597,5.6272674,1,0,1,0
6.9221787,3.2604861,0,1,1,0
7.070875,2.2246406,1,1,1,0
6.1573358,2.0221949,1,1,1,1
7.688073,7.4539123,1,1,1,0
5.2027903,6.938359,1,0,0,3
5.8948264,4.711554,1,1,1,1
4.8043737,4.866374,1,1,1,0
9.302269,7.5411196,1,0,0,3
8.197464,6.113929,1,0,2,2
8.358222,8.047198,1,0,0,3
5.7811356,7.084822,1,0,0,3
8.076829,6.56064,0,0,0,3
5.472358,2.3498025,1,1,1,1
5.908806,1.9154441,1,1,1,1
6.141364,2.2482538,1,1,1,0
6.170353,3.1563795,1,1,2,1
9.051887,6.127681,1,1,2,1
8.258069,7.2860518,0,1,1,0
4.099611,4.38243,1,1,1,1
7.7470875,3.3445702,1,1,1,0
7.6911526,3.0345755,1,1,1,1
3.3259559,4.1048675,1,0,0,3
8.647223,6.146711,0,1,1,1
7.834067,7.924885,1,0,0,3
7.9394717,3.930563,1,1,1,0
4.8398266,4.8895836,1,0,2,2
5.8946753,3.8973756,1,1,2,2
5.8695807,5.46017,1,0,0,3
4.672341,5.919596,1,0,0,3
6.9712505,3.1560168,1,1,1,0
8.282298,8.058922,1,0,0,2
8.141024,6.155953,1,1,1,1
7.7331853,3.9135969,1,1,1,0
5.2125125,4.9725804,1,0,0,3
4.6777205,7.139002,1,0,0,3
8.267115,8.114245,1,0,0,3
4.873311,4.927804,1,0,0,3
9.078628,7.2637477,1,0,0,3
4.7599635,7.3676634,1,0,0,3
8.756867,7.164366,1,0,0,3
9.036334,7.796408,1,0,0,3
8.854292,8.040942,1,0,0,3
8.9725065,7.357972,1,0,0,3
9.033,6.2202697,1,0,2,2
6.9774566,3.2209237,1,1,2,2
4.501024,7.233522,1,0,0,3
5.133558,5.6529136,1,0,0,3
8.760402,5.7964077,1,0,0,3
5.197583,7.1023498,1,0,0,3
4.617133,6.932094,1,0,0,0
8.04042,7.693734,1,0,0,0
9.157611,7.120503,1,0,0,2
8.437504,8.0301485,1,0,0,2
4.845203,5.492733,1,0,0,2
7.765825,4.64571,1,0,0,3
8.899527,7.471458,1,0,0,3
8.665834,8.039927,1,0,2,0
5.992591,4.5874033,1,0,0,3
4.9077334,5.1628866,1,0,2,2
4.7417936,4.8699417,1,0,0,3
4.5641937,7.2523212,1,0,1,0
8.761238,6.8220625,1,0,0,2
8.6597185,6.2076287,1,0,0,2
6.384125,2.0096416,1,1,1,1
6.689449,2.1057105,0,1,1,1
6.6004167,3.2989516,1,0,2,0
6.2393284,3.471483,1,1,1,1
6.535067,2.6811047,1,1,1,1
6.362831,4.171189,1,1,1,1
8.603748,7.5679836,1,0,0,3
6.1644306,3.8706295,1,1,2,1
7.9551077,7.1126623,1,0,0,3
5.9643254,2.4570563,1,1,2,1
9.2238655,6.130671,1,0,2,2
5.5399885,4.842309,1,1,1,0
6.46885,1.8517187,1,1,1,1
8.79706,6.730603,1,0,0,3
5.0640273,8.489121,1,1,1,1
6.4864416,2.235608,1,1,1,1
6.1471868,5.8527675,1,1,1,0
6.4186764,4.2193065,0,1,1,1
6.597618,2.0456214,1,1,1,1
4.7518234,3.6230943,0,1,1,0
7.769315,3.57938,1,1,1,0
7.015746,6.6037774,1,1,1,0
3.9611,5.689382,1,0,0,2
6.4866977,2.3000011,1,1,1,0
5.533606,5.198534,0,1,1,0
5.7105703,2.7875388,0,1,1,1
5.906737,3.2434416,1,1,1,1
5.642754,2.2298858,1,1,1,1
6.4983306,4.009899,0,1,1,1
4.8605094,5.7672286,1,0,0,3
6.5509176,2.359656,1,1,1,1
7.3543243,2.2785656,0,1,1,1
5.922514,2.7018476,1,1,1,1
5.680318,3.4679086,1,1,1,1
5.6879387,2.8775206,0,1,1,1
5.8422065,3.9614348,0,1,2,1
7.4551005,3.8302464,0,1,1,0
4.879156,4.59932,0,0,0,3
6.064652,2.3731725,0,1,1,0
6.2838817,2.16978,0,1,2,1
5.5324845,4.2148304,0,1,2,1
7.7888155,5.3380456,0,1,1,1
4.836319,4.0055695,1,1,2,1
5.76129,2.5229962,0,1,1,0
7.4229727,3.9764683,0,1,1,0
8.606743,6.3747306,0,1,1,1
7.985893,3.915465,0,1,1,0
7.787695,7.2183285,1,1,1,0
5.7242236,4.6501184,1,1,1,1
6.07571,5.4929953,0,0,0,0
5.754084,3.2930393,1,1,1,1
5.003266,6.8863072,1,0,0,3
6.3206244,1.7754027,0,1,1,1
4.680521,6.719544,0,0,0,2
7.2136316,2.7712545,0,1,1,0
5.914896,5.1417975,0,1,1,0
5.4912643,5.4455237,1,0,2,2
4.407509,4.93792,1,1,2,2
7.410497,3.7287083,0,1,1,0
4.9108353,7.310774,0,0,2,2
8.11361,0.5648238,0,1,1,1
6.5879703,4.211401,1,1,1,0
7.9956627,6.653685,0,0,0,2
4.592184,5.8730397,0,0,2,2
7.5560575,7.335403,0,1,1,0
6.1332316,2.693042,0,1,1,1
6.903745,2.4996486,0,1,1,1
6.9102187,3.7243538,0,1,1,0
4.46336,4.1828747,0,0,2,2
4.1713057,5.740006,1,0,0,3
9.386953,6.460329,0,1,2,2
6.581211,3.034479,1,1,1,0
5.9827175,2.9573412,1,1,1,1
7.528533,4.571647,1,1,1,0
8.666293,5.5917726,0,1,1,0
6.952248,6.1977763,1,0,0,3
5.2837353,5.9744563,1,0,0,3
4.4668436,6.649709,0,0,2,2
8.163331,6.1667767,1,0,2,2
5.934098,1.898575,0,1,1,1
7.0573215,3.1479976,0,1,2,1
7.431022,6.5881696,0,0,0,3
5.134264,4.082738,1,0,0,3
7.378627,3.880671,0,1,1,0
4.2556787,7.3553057,1,0,0,3
8.17969,8.063335,0,0,0,3
8.100812,3.9085698,1,1,1,0
5.657853,4.876771,1,1,1,1
7.9447727,6.5430865,0,0,0,3
4.829401,6.697342,0,0,0,3
7.272997,3.7705264,0,1,1,1
7.9454756,6.401263,1,0,2,2
8.665042,7.228279,1,0,0,2
4.3500166,5.8674607,0,0,2,2
7.8281503,3.200482,0,1,1,1
4.2285037,4.601331,1,0,0,3
5.5756593,2.9618096,1,1,2,2
9.16485,6.8926616,1,0,0,3
9.066128,7.0209336,1,0,0,3
6.519593,2.6633725,1,1,2,1
5.882208,6.152093,0,0,0,3
9.389874,7.3076286,1,0,0,3
9.224433,6.318723,0,1,2,2
5.9857745,6.000551,1,0,0,3
5.357035,5.1471834,0,0,2,2
5.9142222,6.154215,1,0,0,3
